pf,9509,CRT,TRUE,'exists-at',sk179,sk179,,,<--,270, BFO-bee-1, mpp,52,6936,6936,,,,,
pf,9508,CRT,TRUE,'instance-of',sk179,occurrent,sk179,,<--,793, BFO-ejl-1, mpp,6936,,,,,,,
pf,9507,CRT,TRUE,'temporal-part-of',sk179,sk179,,,<--,665, BFO-dbj-2, mpp,6936,,,,,,,
pf,9506,CRT,TRUE,'continuant-part-of',a,a,sk179,,<--,189, BFO-mcd-1, mpp,7449,,,,,,,
pf,7450,CRT,TRUE,overlaps,a,a,sk179,,<--,374, BFO-ptm-1, ffaa,7442,7383,,,,,,
pf,7449,CRT,TRUE,'instance-of',a,'independent-continuant',sk179,,<--,374, BFO-ptm-1, ffaa,7448,5983,7386,7384,,,,
pf,7448,CRT,TRUE,'exists-at',a,sk179,,,<--,374, BFO-ptm-1, ffaa,7447,87,7439,6936,40,,,
pf,7447,CRT,TRUE,'instance-of',a,continuant,sk179,,<--,374, BFO-ptm-1, ffaa,7439,7383,,,,,,
nf,7446,OR-11,TRUE,'has-continuant-part',a,a,sk179,,<--,187, BFO-eld-1, mpp,7442,,,,,,,
nf,7445,OR-11,TRUE,overlaps,a,a,sk179,,<--,3, BFOCE-unmarked, mpp,7442,,,,,,,
nf,7444,OR-11,FALSE,'instance-of',a,occurrent,sk179,,<--,798, BFO-wrf-1, mpt,7437,,,,,,,
nf,7443,OR-11,FALSE,'proper-continuant-part-of',a,a,sk179,,<--,197, BFO-sls-1, mpt,7442,,,,,,,
nf,7442,OR-11,TRUE,'continuant-part-of',a,a,sk179,,<--,189, BFO-mcd-1, mpp,7439,,,,,,,
nf,7441,OR-11,FALSE,'instance-of',a,'generically-dependent-continuant',sk179,,<--,859, BFO-cig-1, mpt,7439,,,,,,,
nf,7440,OR-11,FALSE,'instance-of',a,'specifically-dependent-continuant',sk179,,<--,857, BFO-cig-1, mpt,7439,,,,,,,
nf,7439,OR-11,TRUE,'instance-of',a,'independent-continuant',sk179,,<--,841, BFO-otk-1, mpp,7438,5983,,,,,,
nf,7438,OR-11,TRUE,'exists-at',a,sk179,,,<--,270, BFO-bee-1, mpp,7437,6936,87,,,,,
nf,7437,OR-11,TRUE,'instance-of',a,continuant,sk179,,<--,211, BFO-bdd-1, mpp,7383,,,,,,,
