pf,10122,CRT,TRUE,'has-temporal-part',sk158,sk158,,,<--,662, BFO-boo-1, mpp,10062,,,,
pf,10121,CRT,TRUE,entity,sk158,,,,<--,824, BFO-vgn-1, mpp,10063,,,,
pf,10120,CRT,TRUE,'exists-at',sk20,sk158,,,<--,356, BFO-ybr-1, mpp,10066,10064,,,
pf,10119,CRT,TRUE,identical,sk158,sk158,,,<--,351, BFO-xlu-1, mpp,10065,10065,,,
pf,10118,CRT,TRUE,'has-occurrent-part',sk158,sk158,,,<--,346, BFO-yvi-1, mpp,10065,,,,
pf,10117,CRT,TRUE,'has-occurrent-part',sk20,sk158,,,<--,346, BFO-yvi-1, mpp,10066,,,,
pf,10116,CRT,TRUE,'has-temporal-part',sk20,sk156,,,<--,662, BFO-boo-1, mpp,10068,,,,
pf,10115,CRT,TRUE,'has-temporal-part',sk156,sk156,,,<--,662, BFO-boo-1, mpp,10069,,,,
pf,10114,CRT,TRUE,entity,sk156,,,,<--,824, BFO-vgn-1, mpp,10070,,,,
pf,10113,CRT,TRUE,'exists-at',sk20,sk156,,,<--,356, BFO-ybr-1, mpp,10073,10071,,,
pf,10112,CRT,TRUE,identical,sk156,sk156,,,<--,351, BFO-xlu-1, mpp,10072,10072,,,
pf,10111,CRT,TRUE,'has-occurrent-part',sk156,sk156,,,<--,346, BFO-yvi-1, mpp,10072,,,,
pf,10110,CRT,TRUE,'has-occurrent-part',sk20,sk156,,,<--,346, BFO-yvi-1, mpp,10073,,,,
pf,10109,CRT,TRUE,'exists-at',a,sk20,,,<--,270, BFO-bee-1, mpp,84,238,10075,,
pf,10108,CRT,TRUE,'instance-of',a,continuant,sk55,,<--,254, BFO-qaf-1, mpp,10080,10075,,,
pf,10107,CRT,TRUE,overlaps,a,a,sk156,,<--,3, BFOCE-unmarked, mpp,10077,10077,,,
pf,10106,CRT,TRUE,'instance-of',a,continuant,sk156,,<--,211, BFO-bdd-1, mpp,10077,,,,
pf,10105,CRT,TRUE,'has-continuant-part',a,a,sk156,,<--,187, BFO-eld-1, mpp,10077,,,,
pf,10104,CRT,TRUE,overlaps,a,a,sk158,,<--,3, BFOCE-unmarked, mpp,10078,10078,,,
pf,10103,CRT,TRUE,'instance-of',a,continuant,sk158,,<--,211, BFO-bdd-1, mpp,10078,,,,
pf,10102,CRT,TRUE,'has-continuant-part',a,a,sk158,,<--,187, BFO-eld-1, mpp,10078,,,,
pf,10101,CRT,TRUE,'has-temporal-part',sk20,sk55,,,<--,662, BFO-boo-1, mpp,10080,,,,
pf,10100,CRT,TRUE,'has-temporal-part',sk55,sk55,,,<--,662, BFO-boo-1, mpp,10081,,,,
pf,10099,CRT,TRUE,entity,sk55,,,,<--,824, BFO-vgn-1, mpp,10082,,,,
pf,10098,CRT,TRUE,'exists-at',sk20,sk55,,,<--,356, BFO-ybr-1, mpp,10084,10083,,,
pf,10097,CRT,TRUE,'has-occurrent-part',sk20,sk55,,,<--,346, BFO-yvi-1, mpp,10084,,,,
pf,10096,CRT,TRUE,identical,sk55,sk55,,,<--,351, BFO-xlu-1, mpp,10085,10085,,,
pf,10095,CRT,TRUE,'has-occurrent-part',sk55,sk55,,,<--,346, BFO-yvi-1, mpp,10085,,,,
pf,10094,CRT,TRUE,'has-temporal-part',sk44,sk44,,,<--,662, BFO-boo-1, mpp,10087,,,,
pf,10093,CRT,TRUE,entity,sk44,,,,<--,824, BFO-vgn-1, mpp,10088,,,,
pf,10092,CRT,TRUE,identical,sk44,sk44,,,<--,351, BFO-xlu-1, mpp,10090,10090,,,
pf,10091,CRT,TRUE,'has-occurrent-part',sk44,sk44,,,<--,346, BFO-yvi-1, mpp,10090,,,,
pf,10090,CRT,TRUE,'occurrent-part-of',sk44,sk44,,,<--,369, BFO-cmy-2, mpp,10087,1355,1355,,
pf,10089,CRT,TRUE,'exists-at',sk44,sk44,,,<--,270, BFO-bee-1, mpp,48,1355,1355,,
pf,10088,CRT,TRUE,'instance-of',sk44,occurrent,sk44,,<--,793, BFO-ejl-1, mpp,1355,,,,
pf,10087,CRT,TRUE,'temporal-part-of',sk44,sk44,,,<--,665, BFO-dbj-2, mpp,1355,,,,
pf,10086,CRT,TRUE,particular,sk44,,,,<--,256, BFO-oap-1, mpp,1356,,,,
pf,10085,CRT,TRUE,'occurrent-part-of',sk55,sk55,,,<--,369, BFO-cmy-2, mpp,10081,1588,1588,,
pf,10084,CRT,TRUE,'occurrent-part-of',sk55,sk20,,,<--,369, BFO-cmy-2, mpp,10080,238,1588,,
pf,10083,CRT,TRUE,'exists-at',sk55,sk55,,,<--,270, BFO-bee-1, mpp,48,1588,1588,,
pf,10082,CRT,TRUE,'instance-of',sk55,occurrent,sk55,,<--,793, BFO-ejl-1, mpp,1588,,,,
pf,10081,CRT,TRUE,'temporal-part-of',sk55,sk55,,,<--,665, BFO-dbj-2, mpp,1588,,,,
pf,10080,CRT,TRUE,'temporal-part-of',sk55,sk20,,,<--,29, BFOCE-ett-02, mpp,236,1589,,,
pf,10079,CRT,TRUE,particular,sk55,,,,<--,256, BFO-oap-1, mpp,1589,,,,
pf,10078,CRT,TRUE,'continuant-part-of',a,a,sk158,,<--,194, BFO-mqp-1, mpp,10061,1709,,,
pf,10077,CRT,TRUE,'continuant-part-of',a,a,sk156,,<--,194, BFO-mqp-1, mpp,10068,1709,,,
pf,10076,CRT,TRUE,overlaps,a,a,sk20,,<--,3, BFOCE-unmarked, mpp,1709,1709,,,
pf,10075,CRT,TRUE,'instance-of',a,continuant,sk20,,<--,211, BFO-bdd-1, mpp,1709,,,,
pf,10074,CRT,TRUE,'has-continuant-part',a,a,sk20,,<--,187, BFO-eld-1, mpp,1709,,,,
pf,10073,CRT,TRUE,'occurrent-part-of',sk156,sk20,,,<--,369, BFO-cmy-2, mpp,10068,238,5072,,
pf,10072,CRT,TRUE,'occurrent-part-of',sk156,sk156,,,<--,369, BFO-cmy-2, mpp,10069,5072,5072,,
pf,10071,CRT,TRUE,'exists-at',sk156,sk156,,,<--,270, BFO-bee-1, mpp,48,5072,5072,,
pf,10070,CRT,TRUE,'instance-of',sk156,occurrent,sk156,,<--,793, BFO-ejl-1, mpp,5072,,,,
pf,10069,CRT,TRUE,'temporal-part-of',sk156,sk156,,,<--,665, BFO-dbj-2, mpp,5072,,,,
pf,10068,CRT,TRUE,'temporal-part-of',sk156,sk20,,,<--,29, BFOCE-ett-02, mpp,236,5073,,,
pf,10067,CRT,TRUE,particular,sk156,,,,<--,256, BFO-oap-1, mpp,5073,,,,
pf,10066,CRT,TRUE,'occurrent-part-of',sk158,sk20,,,<--,369, BFO-cmy-2, mpp,10061,238,5148,,
pf,10065,CRT,TRUE,'occurrent-part-of',sk158,sk158,,,<--,369, BFO-cmy-2, mpp,10062,5148,5148,,
pf,10064,CRT,TRUE,'exists-at',sk158,sk158,,,<--,270, BFO-bee-1, mpp,48,5148,5148,,
pf,10063,CRT,TRUE,'instance-of',sk158,occurrent,sk158,,<--,793, BFO-ejl-1, mpp,5148,,,,
pf,10062,CRT,TRUE,'temporal-part-of',sk158,sk158,,,<--,665, BFO-dbj-2, mpp,5148,,,,
pf,10061,CRT,TRUE,'temporal-part-of',sk158,sk20,,,<--,29, BFOCE-ett-02, mpp,236,5149,,,
pf,10060,CRT,TRUE,particular,sk158,,,,<--,256, BFO-oap-1, mpp,5149,,,,
pf,10059,CRT,TRUE,'occurrent-part-of',sk176,sk176,,,<--,369, BFO-cmy-2, mpp,10056,5859,5859,,
pf,10058,CRT,TRUE,'exists-at',sk176,sk176,,,<--,270, BFO-bee-1, mpp,48,5859,5859,,
